age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
36,technician,divorced,tertiary,no,679,yes,no,unknown,23,may,163.0,1,-1,0,unknown,no
55,blue-collar,married,secondary,no,5731,yes,no,unknown,15,may,196.0,1,-1,0,unknown,no
38,self-employed,single,tertiary,no,383,yes,no,unknown,5,may,134.0,1,-1,0,unknown,no
26,blue-collar,married,secondary,yes,-183,yes,no,unknown,2,jun,215.0,2,-1,0,unknown,no
46,blue-collar,single,secondary,no,1742,yes,no,unknown,15,may,109.0,2,-1,0,unknown,no
53,admin.,married,secondary,no,80,yes,no,unknown,5,may,207.0,2,-1,0,unknown,no
42,management,married,tertiary,no,169,yes,no,unknown,7,may,86.0,2,-1,0,unknown,no
32,management,married,tertiary,no,23,yes,no,unknown,21,may,125.0,1,-1,0,unknown,no
35,technician,married,tertiary,no,135,no,no,unknown,26,may,139.0,1,-1,0,unknown,no
29,management,married,tertiary,no,4,yes,no,unknown,28,may,270.0,3,-1,0,unknown,no
35,technician,married,tertiary,no,83,yes,no,unknown,23,may,263.0,3,-1,0,unknown,no
39,management,married,tertiary,no,401,yes,no,unknown,20,may,917.0,6,-1,0,unknown,no
49,services,married,secondary,no,458,yes,no,unknown,26,may,362.0,2,-1,0,unknown,no
36,admin.,married,secondary,no,-133,no,yes,unknown,5,jun,135.0,5,-1,0,unknown,no
49,management,married,primary,no,-1027,yes,no,unknown,26,may,80.0,3,-1,0,unknown,no
48,management,married,tertiary,no,779,yes,no,unknown,7,may,200.0,5,-1,0,unknown,no
45,management,married,secondary,no,770,yes,no,unknown,7,may,487.0,2,-1,0,unknown,no
43,services,single,unknown,no,1045,no,no,unknown,6,jun,211.0,1,-1,0,unknown,no
32,management,single,tertiary,no,0,yes,no,unknown,9,may,102.0,1,-1,0,unknown,no
58,management,married,tertiary,no,968,yes,no,unknown,21,may,90.0,2,-1,0,unknown,no
48,services,single,primary,no,137,yes,yes,unknown,14,may,13.0,1,-1,0,unknown,no
53,admin.,married,secondary,no,1581,yes,no,unknown,15,may,340.0,1,-1,0,unknown,no
30,management,single,tertiary,no,2266,yes,no,unknown,20,may,36.0,1,-1,0,unknown,no
28,management,single,secondary,no,-103,yes,no,unknown,16,may,260.0,2,-1,0,unknown,no
33,technician,single,tertiary,no,1210,no,no,unknown,7,may,118.0,1,-1,0,unknown,no
32,blue-collar,married,primary,no,141,yes,no,unknown,2,jun,140.0,1,-1,0,unknown,no
39,services,married,secondary,no,506,yes,no,unknown,9,may,480.0,1,-1,0,unknown,no
31,admin.,married,secondary,no,726,yes,yes,unknown,16,may,74.0,1,-1,0,unknown,no
43,technician,married,secondary,no,303,yes,no,unknown,9,may,226.0,2,-1,0,unknown,no
37,management,single,tertiary,no,892,yes,no,unknown,23,may,202.0,3,-1,0,unknown,no
27,technician,single,tertiary,no,749,yes,no,unknown,20,may,200.0,2,-1,0,unknown,no
41,blue-collar,married,primary,no,3719,no,no,unknown,9,jun,132.0,1,-1,0,unknown,no
25,services,married,secondary,no,330,yes,no,unknown,28,may,268.0,1,-1,0,unknown,no
37,management,married,tertiary,no,-326,yes,yes,unknown,4,jun,215.0,5,-1,0,unknown,no
23,services,single,secondary,no,1261,yes,no,unknown,28,may,52.0,2,-1,0,unknown,no
52,admin.,divorced,secondary,no,93,yes,no,unknown,3,jun,160.0,1,-1,0,unknown,no
35,technician,single,tertiary,no,27,yes,yes,unknown,16,may,352.0,1,-1,0,unknown,no
38,technician,single,secondary,no,-67,yes,no,unknown,6,jun,72.0,1,-1,0,unknown,no
40,blue-collar,married,primary,no,1601,yes,no,unknown,29,may,134.0,4,-1,0,unknown,no
26,technician,married,secondary,no,-872,yes,no,unknown,9,may,124.0,2,-1,0,unknown,no
51,technician,married,primary,no,5753,yes,yes,unknown,7,may,633.0,1,-1,0,unknown,yes
40,services,single,secondary,no,1102,yes,no,unknown,30,may,180.0,1,-1,0,unknown,no
53,blue-collar,married,secondary,no,25,yes,no,unknown,2,jun,123.0,2,-1,0,unknown,no
46,technician,married,secondary,no,360,yes,no,unknown,26,may,507.0,1,-1,0,unknown,yes
34,blue-collar,single,primary,no,3809,yes,no,unknown,21,may,284.0,3,-1,0,unknown,no
40,admin.,divorced,secondary,no,1298,yes,no,unknown,6,may,558.0,1,-1,0,unknown,no
23,technician,single,secondary,no,-90,yes,yes,unknown,29,may,360.0,1,-1,0,unknown,no
31,blue-collar,married,secondary,no,220,yes,no,unknown,3,jun,165.0,4,-1,0,unknown,no
30,blue-collar,married,primary,no,-614,yes,no,unknown,26,may,400.0,2,-1,0,unknown,no
36,blue-collar,single,primary,yes,0,yes,no,unknown,30,may,130.0,1,-1,0,unknown,no
38,blue-collar,married,secondary,no,125,yes,no,unknown,6,may,163.0,4,-1,0,unknown,no
33,blue-collar,single,secondary,no,475,yes,no,unknown,23,may,228.0,1,-1,0,unknown,no
34,blue-collar,single,unknown,no,3108,yes,no,unknown,27,may,261.0,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,511,yes,no,unknown,23,may,267.0,1,-1,0,unknown,no
44,technician,divorced,tertiary,no,665,yes,yes,unknown,27,may,83.0,1,-1,0,unknown,no
31,technician,divorced,secondary,no,467,yes,no,unknown,4,jun,83.0,2,-1,0,unknown,no
27,self-employed,married,secondary,no,538,yes,no,unknown,6,jun,213.0,3,-1,0,unknown,no
49,blue-collar,married,secondary,no,-238,yes,no,unknown,28,may,108.0,3,-1,0,unknown,no
44,technician,divorced,secondary,no,459,yes,no,unknown,26,may,171.0,1,-1,0,unknown,no
41,blue-collar,married,secondary,no,2364,yes,no,unknown,2,jun,193.0,2,-1,0,unknown,no
28,blue-collar,single,secondary,no,-449,yes,no,unknown,23,may,92.0,1,-1,0,unknown,no
26,blue-collar,single,secondary,no,510,yes,no,unknown,4,jun,277.0,1,-1,0,unknown,no
38,blue-collar,divorced,secondary,no,434,no,no,unknown,6,jun,79.0,1,-1,0,unknown,no
